@relation training

@attribute 'age' numeric
@attribute 'gender' {male,female}
@attribute 'friend_count' numeric
@attribute 'message_score' numeric
@attribute 'month' {1,2,3,4,5,6,7,8,9,10,11,12}
@attribute 'time_of_day' {early_morning,morning,noon,afternoon,evening,night,post_midnight}
@attribute 'time_since_last' numeric
@attribute 'average_user_likes' numeric
@attribute 'likes' numeric 

@data
?,?,660,1.16638332595,11,night,154,4.69,0.69314718056
17,male,563,0.817098429983,11,night,1852,2.96,0.69314718056
?,female,728,0.482033581074,4,post_midnight,364,2.127,0
?,male,585,1.61502903468,3,post_midnight,23,8.859,1.79175946923
20,male,843,0.813553621381,1,afternoon,16,9.46,2.77258872224
?,male,None,0.567919427275,11,night,19,2.081,0
?,female,959,0.635119552395,5,afternoon,201,11.76,1.38629436112
22,female,1467,1.135354944,2,afternoon,2063,10.25,3.97029191355
19,female,665,0.44122508606,7,night,54,8.279,0
?,female,705,0.733093411435,6,post_midnight,49,8.94,2.48490664979
?,female,824,1.05845000557,2,evening,38,4.07,1.79175946923
21,male,739,0,7,afternoon,9,4.566,0
20,male,1505,0.752532483147,7,early morning,118,6.22,2.19722457734
?,female,574,0.836113656118,9,post_midnight,116,8.97,1.38629436112
20,male,848,0.867165542771,1,evening,40,2.56,0
?,female,264,0.498946642681,12,post_midnight,1084,4.465,1.38629436112
20,male,720,0.989271435525,7,post_midnight,707,1.182,0
?,male,424,0.415445178603,10,post_midnight,33,2.5,0
17,male,563,0.381617289375,4,evening,95,2.96,1.60943791243
?,female,708,0.710636552792,8,night,484,6.81,3.87120101091
?,male,1067,0.460149316454,4,afternoon,21,10.23,0.0
