@relation training

@attribute 'age' numeric
@attribute 'gender' {male,female}
@attribute 'friend_count' numeric
@attribute 'message_score' numeric
@attribute 'month' {1,2,3,4,5,6,7,8,9,10,11,12}
@attribute 'time_of_day' {early_morning,morning,noon,afternoon,evening,night,post_midnight}
@attribute 'time_since_last' numeric
@attribute 'average_user_likes' numeric
@attribute 'likes' numeric 

@data
21,male,640,0.850042158335,6,early_morning,0,4.44,0
?,female,951,1.13851450424,11,evening,2225,5.31,1.94591014906
?,male,1224,2.08136121354,9,post_midnight,215,5.25,0
19,male,605,1.41497798831,11,post_midnight,67,6.4,3.52636052462
?,male,400,0.863370438938,8,evening,952,5.3,0
?,male,847,0.980674695177,1,post_midnight,234,19.43,2.83321334406
?,female,1002,0.689997575104,8,early_morning,6,11.03,0
22,female,949,0.707681151509,11,early_morning,335,9.162,2.19722457734
?,female,?,0.5,4,afternoon,251,5.223,1.38629436112
21,male,1389,1.06196877117,12,night,33,14.03,2.07944154168
?,female,1096,0.838666090234,3,post_midnight,95,4.26,1.38629436112
?,female,1697,0.780390956236,10,afternoon,133,16.7,3.36729582999
?,female,458,0.833631668704,7,afternoon,17,2.626,0
?,male,305,0,2,early_morning,24,5.031,0.0
21,male,625,0,6,post_midnight,263,3.551,0
?,male,1618,0.825380475202,7,evening,695,16.54,3.97029191355
22,male,796,0.928113147142,1,afternoon,105,9.5,2.3978952728
19,male,?,0.791627959657,9,early_morning,75,9.727,0
?,female,?,0.702740008795,10,post_midnight,150,17.4,2.7080502011
?,female,849,0.669717449691,9,night,189,4.969,1.09861228867
20,female,681,1.16696965905,11,post_midnight,118,7.384,1.09861228867
21,male,675,0.945431882279,11,post_midnight,3883,3.349,1.60943791243
?,female,946,0,7,afternoon,51,10.152,1.79175946923
?,female,756,0.592014965436,8,post_midnight,99,3.143,0
?,male,?,0.681444325164,4,post_midnight,49,22.21,1.60943791243
?,female,258,0.829259984913,9,post_midnight,59,2.94,1.09861228867
?,male,1744,0.692459139978,1,early_morning,71,5.42,1.60943791243
?,female,601,0.659437865289,11,afternoon,50,5.83,0.69314718056
